task,seed,method,normalized_HV,IGD_plus,HF_calls_to_90pct_oracle_HV,feasible_fraction,solver_failure_fraction,shape_error,specific_blocking_force_mN_g,peak_stress_ratio,wall_time_h,HF_budget
M1 nominal helix,26,Frank-WT MF-PIRN,0.9272028887901075,0.0037109733119816395,101,0.931998797304288,0.04615233957244347,0.05764871017311053,36.39679144967243,0.628186601812804,11.694680280572847,200
M1 nominal helix,27,Frank-WT MF-PIRN,0.9341982151657753,0.003488432954291226,99,0.9457527356933152,0.04526890060742292,0.0633770881512385,37.898901039658995,0.5923926510930907,11.567492533299147,200
M1 nominal helix,28,Frank-WT MF-PIRN,0.9211102865242609,0.005474335324996783,105,0.944113587954925,0.030993269215619696,0.059005569122677196,36.3841579755866,0.6394467970348188,13.12681049944631,200
M1 nominal helix,29,Frank-WT MF-PIRN,0.9258237562007702,0.004314043134704563,111,0.9673697167384913,0.024363236194847846,0.04704461793296759,35.30937919895362,0.6423393572567492,11.6100020097466,200
M1 nominal helix,30,Frank-WT MF-PIRN,0.9327492168506228,0.0034429444978730916,96,0.9235876414582508,0.029065152694531356,0.04743306083172063,35.81653071588357,0.6679478579549871,13.880043647570021,200
M1 nominal helix,1,MF-HVKG,0.8945482526681093,0.008459402026451332,151,0.8968927561704405,0.03794494419044138,0.0652985660357438,33.50013816073624,0.6708901736529029,17.174109934055476,200
M1 nominal helix,2,MF-HVKG,0.901404568924929,0.007629780359838904,138,0.9046780629615713,0.04436977269788807,0.0703779219168081,32.05580229917348,0.6183499624521559,19.484550954721605,200
M1 nominal helix,3,MF-HVKG,0.8953816109515875,0.009916675711670675,146,0.9074778669026232,0.04592492950829008,0.05288471596465295,34.29763246659353,0.6198204915299641,18.50160513726718,200
M1 nominal helix,4,MF-HVKG,0.8945032361583429,0.009435093057584058,145,0.9193412153975603,0.05085644688926988,0.06850233064083978,34.712255720712385,0.6625840303202447,17.10637368806277,200
M1 nominal helix,5,MF-HVKG,0.8967362020515919,0.009742390740676402,165,0.9000769339222074,0.05247553717439122,0.06925503235945307,35.814917529939194,0.638184973878759,18.227589478201832,200
M1 nominal helix,6,MF-HVKG,0.9083384324648798,0.006352174460927694,153,0.9005171718975509,0.05574041185450319,0.06277701787463777,34.07206195315951,0.640335039212094,17.30513872733412,200
M1 nominal helix,7,MF-HVKG,0.9055271916354689,0.009268024964544161,142,0.9012446576221623,0.04091146720608339,0.0659708500181984,35.080812073647245,0.6155194064028857,18.251399775883534,200
M1 nominal helix,8,MF-HVKG,0.9009548929707232,0.010314393381118444,147,0.9048886924225338,0.049756087823189916,0.056294125383088714,34.028866259077404,0.672855795269087,19.854304141029736,200
M1 nominal helix,9,MF-HVKG,0.8941751635697237,0.009389643630595869,147,0.9188102875070909,0.03219712086923281,0.06762303845541831,34.016219894485715,0.6056998402624371,18.258960544293448,200
M1 nominal helix,10,MF-HVKG,0.8986877995813226,0.008919701121429143,153,0.9149210472198734,0.05098929275759131,0.06487931512702437,33.57526980193222,0.6230781096645568,18.702506028392023,200
M1 nominal helix,11,MF-HVKG,0.8959638033302696,0.006950783933260422,150,0.893648890782821,0.04323032450038682,0.06598930141738589,32.36620758157915,0.6053184617417348,17.343863264513146,200
M1 nominal helix,12,MF-HVKG,0.9111567398313739,0.009619532318906531,138,0.9059155651105376,0.04674161622291121,0.063429333757594,32.2521644605001,0.6343221932967534,18.328529653384443,200
M1 nominal helix,13,MF-HVKG,0.8956680089788188,0.006884170415735661,143,0.8925549431477757,0.0481471105158051,0.054565777846732076,34.17077908911086,0.6033223045333103,16.242123867079158,200
M1 nominal helix,14,MF-HVKG,0.8987311137397893,0.007458135900918261,150,0.9049455806847104,0.052078191172564486,0.0581973984332276,32.855080013967005,0.6074302097814063,18.004914266507026,200
M1 nominal helix,15,MF-HVKG,0.8981036900857935,0.00914039439542402,145,0.9033279508926509,0.06073911176413274,0.06759074197865989,34.128456310566534,0.6239527597420157,19.215472471923263,200
M1 nominal helix,16,MF-HVKG,0.8960288321537532,0.007595409356671245,160,0.8945270460766481,0.04317571998641903,0.05261108805996788,32.104968224572886,0.6588279432753164,18.057634571571782,200
M1 nominal helix,17,MF-HVKG,0.9034091491376642,0.007891367352359789,149,0.9184768296808076,0.05107993784080227,0.0554828378192449,33.04801520240968,0.6505457255514991,17.62694934885035,200
M1 nominal helix,18,MF-HVKG,0.9021579479016052,0.008268219072818632,148,0.9194744328146667,0.03319552093722407,0.06253034548544294,34.79577940679828,0.6723862971764624,18.11795993848928,200
M1 nominal helix,19,MF-HVKG,0.9064618337967973,0.007419948703872894,138,0.8853935535643905,0.05172502499505505,0.06261601286613352,34.29764360603023,0.6360922479979523,18.051518612550232,200
M1 nominal helix,20,MF-HVKG,0.8888377828668292,0.009301330389349254,151,0.9078232395850003,0.04742834625192077,0.07394718789193964,33.66657928125714,0.6685636800027501,17.550008726905734,200
M1 nominal helix,21,MF-HVKG,0.9019307707109386,0.008061233318460528,153,0.9021060364213466,0.044648497146704616,0.06713210798892316,32.33762224355528,0.6590074306829071,17.79840555810205,200
M1 nominal helix,22,MF-HVKG,0.8875090172400105,0.007496337378876493,147,0.8959201819148094,0.054563928509977266,0.07353017196741692,31.17754878800582,0.6349441672803849,17.979342482152177,200
M1 nominal helix,23,MF-HVKG,0.8930052570566672,0.009086369451323463,154,0.9215924935013113,0.04964747847667374,0.07117434736336269,35.17798105113912,0.6795560600840111,18.388807654230078,200
M1 nominal helix,24,MF-HVKG,0.9028110768148806,0.009734261694937421,156,0.8987074053221519,0.028396546838608597,0.0737241118173253,33.16553607786488,0.6188325768937061,18.027045328656357,200
M1 nominal helix,25,MF-HVKG,0.8988611962904702,0.008626923308189533,150,0.9075049036548498,0.03812918498259789,0.0686038953309632,34.05318086308555,0.6246825845273082,18.75725492205362,200
M1 nominal helix,26,MF-HVKG,0.8982368023506472,0.009311308790862276,139,0.8981180901399807,0.04450248137898576,0.07329207406096949,35.748306992790376,0.6383240456962949,18.9912964138445,200
M1 nominal helix,27,MF-HVKG,0.8997742468463756,0.00878405454366572,142,0.9317895047815091,0.053708164856661245,0.06800588612368891,36.07211806517505,0.6439543418094609,18.50928230051414,200
M1 nominal helix,28,MF-HVKG,0.8971305243842164,0.009003830106456185,151,0.9111399368383969,0.04432188775906843,0.061147266625708706,36.1319625891878,0.6734839632014652,17.160045175561866,200
M1 nominal helix,29,MF-HVKG,0.8896919983410736,0.007741403171479657,149,0.8914490633989227,0.0466771975621331,0.06902202322743066,34.41045978201647,0.6379820847199383,18.412688389628364,200
M1 nominal helix,30,MF-HVKG,0.909586941274512,0.007768767887231487,148,0.9165177857250507,0.03603691310604552,0.062287855444958184,34.26905307571253,0.6026359222196624,18.62985435696527,200
M1 nominal helix,1,qLogNEHVI,0.8967316416554391,0.009202522774156209,168,0.9046246190207295,0.06019632905281222,0.06386211285017127,35.39090812765835,0.6007818514696703,19.353344538147258,200
M1 nominal helix,2,qLogNEHVI,0.9016240654862288,0.009330847266292831,159,0.8866705646511379,0.05008938554486478,0.0723583384660442,34.12359142593545,0.6381367959913167,17.695313778157715,200
M1 nominal helix,3,qLogNEHVI,0.8962308726490119,0.009789925672184226,163,0.8810586497517513,0.0416972684542275,0.0696836954947529,33.68618379413869,0.6784888638868772,19.1616450395882,200
M1 nominal helix,4,qLogNEHVI,0.8933426732283968,0.008823177702340014,162,0.8921149806217311,0.062056091893536995,0.06160254612046531,36.15398035935298,0.6180106656578642,19.88370377633747,200
M1 nominal helix,5,qLogNEHVI,0.8907460189854566,0.008711388708371667,160,0.8957432610555482,0.04490461345871794,0.07197137297374814,34.4694176214069,0.6844383700553741,18.781490376961035,200
M1 nominal helix,6,qLogNEHVI,0.8949198757287704,0.008783041338108897,153,0.8953219190752881,0.05344872112216449,0.06633638054472848,33.992531865979345,0.6066160731959165,19.530765511336046,200
M1 nominal helix,7,qLogNEHVI,0.8943714432864526,0.010013517987371594,161,0.8746495243072853,0.03602049830441896,0.06501607130459554,36.78366455124985,0.6362356313399864,18.982251267460338,200
M1 nominal helix,8,qLogNEHVI,0.9020477329832083,0.009045396293467626,165,0.8923671630108625,0.05069806239566082,0.05935871475170894,35.843420390871636,0.6482195291032413,20.233677672158624,200
M1 nominal helix,9,qLogNEHVI,0.8959815442499899,0.006919697991922872,146,0.9081114130185882,0.04680623281274575,0.06634244868986738,33.91687850716662,0.6187482026333855,19.557502153122677,200
M1 nominal helix,10,qLogNEHVI,0.8976319676223244,0.008589783171916998,159,0.9069962460129236,0.06288113851364477,0.06867228651837765,35.33586874988722,0.6653810997986209,19.637055925695584,200
M1 nominal helix,11,qLogNEHVI,0.8978163735548139,0.010051366187564536,159,0.9067748795194255,0.06369218739083353,0.0697594453220689,32.99083581053311,0.668756902086087,19.46186472765573,200
M1 nominal helix,12,qLogNEHVI,0.890100961579371,0.011757382396845697,146,0.8694081492129664,0.06741110791805591,0.07072457821025141,32.89656636441311,0.696948892091718,18.437844896795664,200
M1 nominal helix,13,qLogNEHVI,0.8880942097654105,0.010589696669900287,160,0.920115517912296,0.05612272355555995,0.06045788882103482,32.31678978833289,0.6709603912186907,20.307289311145272,200
M1 nominal helix,14,qLogNEHVI,0.8945587178574561,0.008637216560464267,159,0.9164963539523229,0.06340093776030288,0.06201559974072237,31.739135902944692,0.6368808697345577,18.584839464151315,200
M1 nominal helix,15,qLogNEHVI,0.9013785623508628,0.008425750302727622,154,0.9085907413779732,0.047522425083741326,0.07319957065562982,33.86715466868184,0.6306266877806067,18.600961526738594,200
M1 nominal helix,16,qLogNEHVI,0.9020716235460718,0.008602634091209763,152,0.8966280173490189,0.05053392038366798,0.06042630040390757,36.72185700471607,0.6451624836565136,20.231651128110833,200
M1 nominal helix,17,qLogNEHVI,0.8967311235304793,0.009037963875297662,166,0.9004634004075948,0.053040112495079665,0.059893334590024036,32.6698570476915,0.6219900138419521,19.62066268341732,200
M1 nominal helix,18,qLogNEHVI,0.8913526634391652,0.00927860712356071,156,0.9029888323808252,0.04813315837056582,0.056164697278621015,31.68445115123093,0.6508234270386097,19.453532839924573,200
M1 nominal helix,19,qLogNEHVI,0.8897849143375957,0.009433960450543353,153,0.9004005045487129,0.04568375813963553,0.06305484746044918,32.28052481023226,0.5889331304235027,18.399353626918206,200
M1 nominal helix,20,qLogNEHVI,0.8946627082281404,0.008236959881233408,154,0.9245248987726665,0.05891516354840312,0.0542799346052087,31.208867978510753,0.6373692723538703,18.170515504329614,200
M1 nominal helix,21,qLogNEHVI,0.9004031310247352,0.009689414656256093,161,0.9157710344701081,0.04467997678437121,0.06903543285391026,33.52210360143179,0.6739484006167632,19.16211747480468,200
M1 nominal helix,22,qLogNEHVI,0.8983124995575479,0.010473667666563944,156,0.9149240202640272,0.0518925429821395,0.05937496622630129,35.08589207292249,0.6324860467738956,18.901381758314212,200
M1 nominal helix,23,qLogNEHVI,0.8972761664123384,0.00870054926168846,161,0.897795600179559,0.051347793600301,0.06070907318427474,35.80970791245422,0.6579912969028575,19.372834910154733,200
M1 nominal helix,24,qLogNEHVI,0.8933275785207934,0.010925797438223611,152,0.9075053598445241,0.04896208630120264,0.06256066394122323,35.41553890433858,0.6300116839600417,19.192358641725452,200
M1 nominal helix,25,qLogNEHVI,0.8928336079890211,0.007050816052875391,161,0.9319602019272504,0.06108734733241017,0.07119297465235891,33.011307660920394,0.6501177394089603,19.761479809760147,200
M1 nominal helix,26,qLogNEHVI,0.8942936403897738,0.009550289956262586,157,0.8878258782705593,0.06128856601214663,0.06125656244809996,33.98411460340713,0.6145123377669515,18.523003738515335,200
M1 nominal helix,27,qLogNEHVI,0.8962134466725485,0.008270587818391448,157,0.9013080346096031,0.04602540844993329,0.06236612803595851,33.91526844910139,0.6505832553924218,20.340164854430014,200
M1 nominal helix,28,qLogNEHVI,0.8942644598321796,0.010083338985103624,166,0.8969589008044833,0.04424590321138594,0.0651472501582221,35.529090078671366,0.6393900054148804,19.301456040562627,200
M1 nominal helix,29,qLogNEHVI,0.8907333278526273,0.008965065776472481,152,0.8970628645818675,0.04924825751196225,0.07921913161161964,34.782178594926926,0.639109370242678,18.493007903862996,200
M1 nominal helix,30,qLogNEHVI,0.9036501660244601,0.008990672496715136,162,0.9100580202830347,0.04823762897655625,0.06173595007439675,34.29830331301238,0.6384867583793554,19.97360262125346,200
M1 nominal helix,1,MOMF,0.880562003506881,0.008785482429779844,155,0.9029830427074304,0.05930693788942683,0.07710148312961296,33.08338149407173,0.6203632185237736,18.323849460452333,200
M1 nominal helix,2,MOMF,0.8945855490240457,0.010548338197097893,151,0.8940161759188511,0.04698466110473811,0.06389709859831645,31.68272515737032,0.5956887280409631,19.17193847795524,200
M1 nominal helix,3,MOMF,0.8850730513746096,0.011028862175913584,145,0.9005781832427168,0.040813508783843086,0.0695613446381945,36.46671855206858,0.6423838726444232,18.04995579456123,200
M1 nominal helix,4,MOMF,0.8963161803223954,0.00874147847741586,143,0.9319453288962006,0.05136097408536294,0.05764148224347024,32.61920492442257,0.6172210927172949,19.132610479894097,200
M1 nominal helix,5,MOMF,0.8904020577149738,0.0092183121393236,146,0.9202619062736772,0.0536461126715381,0.07413082739188204,32.55282877648162,0.6458559857953123,18.34392889676983,200
M1 nominal helix,6,MOMF,0.8880505737657375,0.010680011474520423,151,0.8886675977646097,0.05554844614689406,0.06270893190090962,33.975797124415216,0.7012721287478394,16.545873629637057,200
M1 nominal helix,7,MOMF,0.8802576691093287,0.010479286883400288,157,0.8911578031649546,0.06018689264515706,0.07200450872349617,34.04592998449793,0.6880223005665058,16.98971520386264,200
M1 nominal helix,8,MOMF,0.9012022789537104,0.010435744672134324,149,0.907023631970571,0.056148818675288356,0.07467110418912963,34.65474155767167,0.5930607849637015,18.13762950012224,200
M1 nominal helix,9,MOMF,0.8877135491233117,0.008655429015925835,144,0.8758460283159943,0.048778061863807114,0.06901786815482282,33.468879958209826,0.6207271317142287,16.7471539112253,200
M1 nominal helix,10,MOMF,0.9003065920993153,0.009664953120954865,141,0.9104425254687668,0.049056922736659854,0.06475300687167826,36.30172166724057,0.6610443705223538,16.53835818775364,200
M1 nominal helix,11,MOMF,0.8889753504907169,0.010621242977486641,146,0.8968283891324083,0.04461578995565667,0.06379452216260181,34.16474517551464,0.6472578112362246,18.227318846916617,200
M1 nominal helix,12,MOMF,0.8943568223269852,0.010180109793026389,146,0.8910780484263725,0.05067817819059311,0.0652775221161028,32.018048476879486,0.6473342571852495,17.19280172865865,200
M1 nominal helix,13,MOMF,0.8806997137123078,0.009849762170506746,139,0.884783953810743,0.04568806982207824,0.06494907456626672,31.654136538832688,0.6310895812653563,18.770299006333786,200
M1 nominal helix,14,MOMF,0.8901936382142343,0.010681623098309143,138,0.8922998338345605,0.04737198117262918,0.06674889290097362,34.53654097379634,0.6537004487095359,17.74579141107805,200
M1 nominal helix,15,MOMF,0.8932919992203466,0.010029626329754874,149,0.9106210501625144,0.04756575862384673,0.06598945721319432,35.20819634097276,0.6207669574799831,17.58304966611375,200
M1 nominal helix,16,MOMF,0.8837522856270774,0.009724006716728515,131,0.8879487665467831,0.05032712133941934,0.06650755794591753,30.334207591282095,0.6893679471607127,17.07530112623783,200
M1 nominal helix,17,MOMF,0.9029971311059731,0.009107870709165695,144,0.8755411046134255,0.052276090550170455,0.06148937756209204,34.932899430309696,0.6405213046915416,18.21927159271931,200
M1 nominal helix,18,MOMF,0.8874673024578976,0.009858364712209295,145,0.9047929605595408,0.04285903722318507,0.05679770436824871,35.756663188789744,0.6333033419710475,17.12688383950949,200
M1 nominal helix,19,MOMF,0.8918506286566344,0.009152791646235666,153,0.9155884885620263,0.046971116557924956,0.06406302079509843,33.20880610958966,0.6570645521225544,17.76064070621365,200
M1 nominal helix,20,MOMF,0.8913613848824525,0.009075687055643345,143,0.9101104149986199,0.04326007111514852,0.07776435775957226,36.69255807573854,0.630716736084573,19.696792201835674,200
M1 nominal helix,21,MOMF,0.8934257754066288,0.011062729529756043,149,0.898762777316268,0.037560132309749195,0.06653086827297831,34.946057640231714,0.644368553334352,18.296888436120103,200
M1 nominal helix,22,MOMF,0.8863142150551979,0.0085599278177998,141,0.8885449860418826,0.049683482323589184,0.062327177506426946,34.82940765011838,0.630029285222524,18.67278104076052,200
M1 nominal helix,23,MOMF,0.883501584010122,0.011611563215883055,148,0.912963478227014,0.04489951332209913,0.07484224087337055,33.9488593225482,0.6541680372116223,17.96428861632895,200
M1 nominal helix,24,MOMF,0.8849734330690869,0.009276689914879446,155,0.8764885310357531,0.04030845358748861,0.07317662590744631,33.14523031335437,0.6583444521672607,17.0395701269718,200
M1 nominal helix,25,MOMF,0.8841308377535511,0.009492356913267948,151,0.8886889036391457,0.04844880515804581,0.07717670257777519,31.401472687110306,0.6223532752067267,17.40155533514167,200
M1 nominal helix,26,MOMF,0.8851647852415104,0.010036785569484698,149,0.8968941674780458,0.03665662610412821,0.07790176260291326,33.50672938702908,0.6489796992914656,17.00511735856766,200
M1 nominal helix,27,MOMF,0.886914868629366,0.009943452069222716,148,0.882160941464966,0.04326071912088126,0.06011735004354559,30.309618537146893,0.6350853942162327,18.579129601897435,200
M1 nominal helix,28,MOMF,0.8960885484356493,0.009145296997832031,148,0.8883354989208694,0.06392279902056074,0.05722989570634909,34.7317704741669,0.6095329339593468,18.460777370683008,200
M1 nominal helix,29,MOMF,0.8922369898575909,0.009421383586429327,147,0.9022528321964983,0.03238864594520441,0.07907883419117474,30.907489589185005,0.6508060728690365,16.9683465462255,200
M1 nominal helix,30,MOMF,0.8997278543653184,0.008141161770974365,145,0.891940948942278,0.05138564126552043,0.0601832603414404,32.14969010805306,0.6102034787714258,16.52600487732704,200
M1 nominal helix,1,PHSEA,0.8942600851699162,0.009387029814113415,161,0.9394650593573437,0.05059235181627235,0.07567419378917394,35.60454553588672,0.676397100659736,19.035580676832456,200
M1 nominal helix,2,PHSEA,0.8784073113218355,0.014042031430068012,169,0.9133437432737157,0.04632086227069129,0.06734158352906706,34.77808090383022,0.6678226132899749,18.685537494856497,200
M1 nominal helix,3,PHSEA,0.8825641108385793,0.009675633338682172,162,0.9083656153102804,0.04929113823352131,0.07881176996838343,31.670724868459903,0.6635412864336069,18.720576988366556,200
M1 nominal helix,4,PHSEA,0.879575888597217,0.009059029092102997,172,0.8941598539294314,0.03927522599398211,0.07938543817787627,32.16125888244026,0.628680960415324,17.918015619099577,200
M1 nominal helix,5,PHSEA,0.8879198454549859,0.011732921478110853,180,0.9295068724276824,0.03895892469140738,0.0636646347007433,36.18734429101638,0.6402343433688825,18.037013194721286,200
M1 nominal helix,6,PHSEA,0.8824987341446098,0.014880618342636816,174,0.9094359429452328,0.043672386205830735,0.07225767334968312,35.394461507690785,0.613287493721123,19.602738190339323,200
M1 nominal helix,7,PHSEA,0.899711284439607,0.010663671154329465,170,0.9132243391136768,0.04225124605090389,0.06172187426425617,34.80781704026844,0.6625907264385885,17.94615544862763,200
M1 nominal helix,8,PHSEA,0.8972394796083792,0.012203732878071347,161,0.9228751264873741,0.040643064467277334,0.06326946252278662,35.449443364234654,0.6522130901775361,18.07313725282704,200
M1 nominal helix,9,PHSEA,0.8842229084106789,0.011001501034036023,171,0.9138561264720858,0.05111379406118499,0.06358234115313494,31.496896058196185,0.6246971343325528,17.256284268148146,200
M1 nominal helix,10,PHSEA,0.8833623861830414,0.011548814104421887,161,0.9057357061211015,0.05857396076380965,0.06454028961882938,30.625682619130995,0.6550803818648145,19.290116938508564,200
M1 nominal helix,11,PHSEA,0.8867352758726782,0.008763759546418238,172,0.9244030885804208,0.031583196000744246,0.06488411624203705,29.90903525025796,0.6346439663227728,18.49350992957077,200
M1 nominal helix,12,PHSEA,0.8816088250786503,0.010798540580104505,157,0.8880993444008444,0.051595530655558164,0.07224111207737004,33.23965950844498,0.6555052834833304,19.375669299588683,200
M1 nominal helix,13,PHSEA,0.8899474135961939,0.011284922752523636,160,0.9211594309544032,0.03526031133506528,0.07110529489866162,31.865144161429367,0.6628065314686498,18.481270874846267,200
M1 nominal helix,14,PHSEA,0.8899500400100882,0.011793575896620043,168,0.9171681167285034,0.04755597574374974,0.08025361787658195,34.67251713578106,0.6370946753774924,18.467780463140414,200
M1 nominal helix,15,PHSEA,0.8894394357924756,0.010133337915953602,176,0.9231704238086039,0.0531494648760735,0.08084037523697016,35.115297195480686,0.6210213169015195,19.208642201486395,200
M1 nominal helix,16,PHSEA,0.8816051656858735,0.010111078882202971,169,0.91948496275088,0.03609804508857095,0.0659931038962719,35.99163166589424,0.6165409547092401,18.19108879441801,200
M1 nominal helix,17,PHSEA,0.8785952112938731,0.010131380664691885,167,0.931489032745108,0.038097653633590044,0.07855042826657867,32.65839506873119,0.6413121777693799,18.016415981154207,200
M1 nominal helix,18,PHSEA,0.8895786903620647,0.011487271782017546,159,0.8984380422766161,0.04776024529028875,0.0714433827998969,33.14546552581556,0.6232546013611764,20.487147243351853,200
M1 nominal helix,19,PHSEA,0.8824793782791356,0.010104412330915472,172,0.8989489913328476,0.051662405528839654,0.07589187253536235,32.989043567714305,0.6469966486187881,18.641653993913398,200
M1 nominal helix,20,PHSEA,0.8815226612531369,0.011608708684656088,168,0.9075526531471848,0.0539365200680552,0.07158700238660078,33.51876996576974,0.6201539320723455,18.71639315514921,200
M1 nominal helix,21,PHSEA,0.8868061750187235,0.011424284593403203,170,0.8954572901224488,0.039614934100249403,0.07239721263713553,32.26732519842654,0.6745241518127757,19.930028179131302,200
M1 nominal helix,22,PHSEA,0.8883772971359666,0.010252549484993228,170,0.9059200762152424,0.0510980745344299,0.07318079865761222,34.232883876806625,0.6382899532392131,18.907045409777094,200
M1 nominal helix,23,PHSEA,0.8828153170509122,0.010895750170426283,167,0.9160796369508734,0.046551027253009955,0.07065827099615046,33.26514098563936,0.647579258895088,18.57024981748075,200
M1 nominal helix,24,PHSEA,0.8793172216212063,0.013067730701781804,174,0.9225654454623664,0.04485382513476853,0.06586755534589639,31.125170652605995,0.6424094441049453,18.875647670393445,200
M1 nominal helix,25,PHSEA,0.885731188683194,0.011240299134430445,159,0.9371400056887096,0.03075173307939253,0.06836234539451391,34.35150975178054,0.6659750564727013,19.377342080396737,200
M1 nominal helix,26,PHSEA,0.8868759742668942,0.01098366756685856,165,0.9112454519595976,0.0477665915759877,0.06511609017051222,33.96101676773702,0.6503323136659304,18.835008098298115,200
M1 nominal helix,27,PHSEA,0.8754952847427026,0.011143117387208612,165,0.928790824206806,0.04794455194732499,0.06729390156066133,33.801464351414154,0.6689121883043172,18.712060126098603,200
M1 nominal helix,28,PHSEA,0.8785701436036526,0.011856775372651248,162,0.8935618864263988,0.03479000274794195,0.06715534438808816,30.777175166611567,0.6927726706672594,19.161140073356115,200
