method,point,shape_error,specific_blocking_force_mN_g,peak_stress_ratio
Frank-WT MF-PIRN,36,0.08411111111111111,34.7421905944092,0.7295262826525039
Frank-WT MF-PIRN,37,0.086,34.266638536217364,0.7191825942839336
Frank-WT MF-PIRN,38,0.08788888888888889,34.58402145261742,0.7248242834819405
Frank-WT MF-PIRN,39,0.08977777777777778,33.912269899420885,0.7323445886491251
Frank-WT MF-PIRN,40,0.09166666666666666,35.16824073674467,0.7407029080074433
Frank-WT MF-PIRN,41,0.09355555555555554,34.42900924249402,0.7354433168215108
Frank-WT MF-PIRN,42,0.09544444444444444,32.93027753689369,0.7373489612749337
Frank-WT MF-PIRN,43,0.09733333333333333,32.547921167930426,0.7468794838883385
Frank-WT MF-PIRN,44,0.09922222222222221,33.51089382456667,0.7522314283230416
Frank-WT MF-PIRN,45,0.10111111111111111,33.335366774844616,0.731957530626087
Frank-WT MF-PIRN,46,0.103,32.671902788358445,0.7461466801407611
Frank-WT MF-PIRN,47,0.10488888888888888,32.47032076905821,0.7652262981334561
Frank-WT MF-PIRN,48,0.10677777777777778,33.113021475167315,0.7656655125544307
Frank-WT MF-PIRN,49,0.10866666666666666,31.244643290893425,0.7461896019566248
Frank-WT MF-PIRN,50,0.11055555555555555,31.942635939986225,0.7793274286254508
Frank-WT MF-PIRN,51,0.11244444444444444,30.852490935907888,0.7806460994002006
Frank-WT MF-PIRN,52,0.11433333333333333,31.51829434475438,0.7808250384566745
Frank-WT MF-PIRN,53,0.11622222222222221,31.94264204778959,0.7883459411091641
Frank-WT MF-PIRN,54,0.11811111111111111,30.28988583358667,0.7920690737881712
Frank-WT MF-PIRN,55,0.12,30.251534624931782,0.7916507625557679
MF-HVKG,1,0.018,41.788285620111004,0.5704823945832452
MF-HVKG,2,0.019888888888888887,40.642619007984536,0.5779151544836065
MF-HVKG,3,0.021777777777777778,40.259199694783895,0.5847212747024788
MF-HVKG,4,0.023666666666666666,40.160732297672844,0.5876454956960099
MF-HVKG,5,0.025555555555555554,40.27070665375599,0.5962429288353748
MF-HVKG,6,0.02744444444444444,39.80349207723896,0.5963846117902302
MF-HVKG,7,0.02933333333333333,39.919076956368684,0.6018282537905493
MF-HVKG,8,0.03122222222222222,39.562151097028924,0.6189721864684768
MF-HVKG,9,0.033111111111111105,39.46086961221071,0.6134444802074791
MF-HVKG,10,0.034999999999999996,39.08785790266674,0.612602836373488
MF-HVKG,11,0.03688888888888889,39.016187614812544,0.6226343392710697
MF-HVKG,12,0.03877777777777777,38.84503919480699,0.6133621418360344
MF-HVKG,13,0.04066666666666666,38.72473075559742,0.6299792007738751
MF-HVKG,14,0.042555555555555555,38.8396531337951,0.6131086277681111
MF-HVKG,15,0.04444444444444444,38.257333581272356,0.6325735301517925
MF-HVKG,16,0.04633333333333333,38.26142135591866,0.6396232636767363
MF-HVKG,17,0.04822222222222222,37.91042271238129,0.6353015758677282
MF-HVKG,18,0.050111111111111106,37.35020093189102,0.6433691917417911
MF-HVKG,19,0.05199999999999999,37.016552859926705,0.6543252832367855
MF-HVKG,20,0.05388888888888889,36.40246208998874,0.6543650476310817
MF-HVKG,21,0.05577777777777777,37.06624485949928,0.6596714722694325
MF-HVKG,22,0.05766666666666666,36.19995530411609,0.6689182508740118
MF-HVKG,23,0.059555555555555556,36.12555139470258,0.6788727528310323
MF-HVKG,24,0.06144444444444444,36.268179817799655,0.6808159912051904
MF-HVKG,25,0.06333333333333332,35.834061403350596,0.6760896731751929
MF-HVKG,26,0.06522222222222222,34.646365807316215,0.687247463702177
MF-HVKG,27,0.06711111111111111,35.463400118526614,0.6800083021242872
MF-HVKG,28,0.06899999999999999,35.78282757241921,0.6804358659723094
MF-HVKG,29,0.07088888888888889,35.62770080194508,0.7004312757161723
MF-HVKG,30,0.07277777777777777,35.441006865734415,0.6988316962770117
MF-HVKG,31,0.07466666666666666,34.69025036889342,0.7146217828996505
MF-HVKG,32,0.07655555555555554,34.12206352893937,0.70576426148639
MF-HVKG,33,0.07844444444444444,34.53522234066632,0.7147542125415473
MF-HVKG,34,0.08033333333333333,34.66933623049506,0.7107166911169629
MF-HVKG,35,0.08222222222222222,34.60298381609651,0.7260863400572531
MF-HVKG,36,0.08411111111111111,34.07545846154258,0.710501352433364
MF-HVKG,37,0.086,33.43197750529168,0.7278869675900214
MF-HVKG,38,0.08788888888888889,33.743018357438665,0.7383685047692492
MF-HVKG,39,0.08977777777777778,32.931479346792536,0.7359253713731795
MF-HVKG,40,0.09166666666666666,33.26231486228537,0.7543554699534397
MF-HVKG,41,0.09355555555555554,33.380236593396894,0.7423328910435407
MF-HVKG,42,0.09544444444444444,32.54018050342845,0.7660827014313426
MF-HVKG,43,0.09733333333333333,32.41236354125794,0.7604123071015492
MF-HVKG,44,0.09922222222222221,32.16397693983282,0.7583185890269389
MF-HVKG,45,0.10111111111111111,31.68612414552282,0.7551115829438904
MF-HVKG,46,0.103,31.353048042958243,0.7508572532211497
MF-HVKG,47,0.10488888888888888,31.741588791251694,0.7653629187622387
MF-HVKG,48,0.10677777777777778,31.716360256973488,0.7690827387880004
MF-HVKG,49,0.10866666666666666,31.41004074245988,0.7788999507202536
MF-HVKG,50,0.11055555555555555,30.71049309573893,0.7890940764948254
MF-HVKG,51,0.11244444444444444,30.627065427028676,0.7856205682364186
MF-HVKG,52,0.11433333333333333,30.677403298971566,0.8026191427861294
MF-HVKG,53,0.11622222222222221,30.97318098056746,0.8139963796922515
MF-HVKG,54,0.11811111111111111,31.335939425088345,0.8058996548518599
MF-HVKG,55,0.12,29.61219634616556,0.801265186959186
qLogNEHVI,1,0.018,40.31170080578132,0.5934969786668455
qLogNEHVI,2,0.019888888888888887,39.608518903020894,0.5915663692136673
qLogNEHVI,3,0.021777777777777778,39.560738293775195,0.5885041031983843
qLogNEHVI,4,0.023666666666666666,39.527216711134905,0.5928795885179825
qLogNEHVI,5,0.025555555555555554,39.8010921807542,0.5996742227583406
qLogNEHVI,6,0.02744444444444444,39.4519493106988,0.6050560026586218
qLogNEHVI,7,0.02933333333333333,38.745168906570214,0.6006838583064114
qLogNEHVI,8,0.03122222222222222,38.794118967463554,0.6147311420352392
qLogNEHVI,9,0.033111111111111105,38.647554253167804,0.6165817105859349
qLogNEHVI,10,0.034999999999999996,38.18119374976996,0.6191757605737107
qLogNEHVI,11,0.03688888888888889,38.754705449311764,0.6177782369937229
qLogNEHVI,12,0.03877777777777777,37.959167873970756,0.6301804298604148
qLogNEHVI,13,0.04066666666666666,37.246719251343194,0.6349932381882818
qLogNEHVI,14,0.042555555555555555,37.449633247587826,0.6316256094164612
qLogNEHVI,15,0.04444444444444444,37.13163754303565,0.6402303157675576
qLogNEHVI,16,0.04633333333333333,36.16676190050113,0.6546118363926816
qLogNEHVI,17,0.04822222222222222,37.56280463960125,0.6579085674809446
qLogNEHVI,18,0.050111111111111106,37.4034726867679,0.6549892887652715
qLogNEHVI,19,0.05199999999999999,36.876206484701164,0.6600745943472963
qLogNEHVI,20,0.05388888888888889,35.93978354889315,0.6586365661051459
qLogNEHVI,21,0.05577777777777777,36.32383971114673,0.6658155697517776
qLogNEHVI,22,0.05766666666666666,35.36649509770144,0.6567379677663716
qLogNEHVI,23,0.059555555555555556,35.53057934197084,0.6746912939229804
qLogNEHVI,24,0.06144444444444444,35.48599751841024,0.6825528095924395
qLogNEHVI,25,0.06333333333333332,35.52007312699981,0.7057092201253803
qLogNEHVI,26,0.06522222222222222,35.44472998604712,0.7003010742412779
qLogNEHVI,27,0.06711111111111111,34.81273560428332,0.7028649478054095
qLogNEHVI,28,0.06899999999999999,35.59261965192164,0.6882630952888006
qLogNEHVI,29,0.07088888888888889,34.20735908019067,0.7009677689807626
qLogNEHVI,30,0.07277777777777777,34.94272539363965,0.6896706233793253
qLogNEHVI,31,0.07466666666666666,34.385150518208356,0.7040792256566196
qLogNEHVI,32,0.07655555555555554,34.18024903562228,0.7099391641608893
qLogNEHVI,33,0.07844444444444444,33.952844394902904,0.7178708543100231
qLogNEHVI,34,0.08033333333333333,34.11582477005975,0.7177541943973554
qLogNEHVI,35,0.08222222222222222,33.131525179347356,0.7244249720795329
qLogNEHVI,36,0.08411111111111111,32.86510139587227,0.745059077292116
qLogNEHVI,37,0.086,32.72626760439469,0.7247570165623518
qLogNEHVI,38,0.08788888888888889,32.51266273059122,0.7515621269536453
qLogNEHVI,39,0.08977777777777778,31.988593124553372,0.7401558422008692
qLogNEHVI,40,0.09166666666666666,32.60965479789304,0.75349181546809
qLogNEHVI,41,0.09355555555555554,32.003925435340115,0.7636200538144896
qLogNEHVI,42,0.09544444444444444,32.362680032577316,0.7553240926316417
qLogNEHVI,43,0.09733333333333333,31.440459707140867,0.7547832534909731
qLogNEHVI,44,0.09922222222222221,31.29760420281616,0.7773046276328229
qLogNEHVI,45,0.10111111111111111,31.304263256902555,0.765841414398034
qLogNEHVI,46,0.103,30.778288648930783,0.7719025576720047
qLogNEHVI,47,0.10488888888888888,30.51499530396231,0.787863193311191
qLogNEHVI,48,0.10677777777777778,29.85318234053355,0.7775582133975338
qLogNEHVI,49,0.10866666666666666,29.562658792029577,0.8003100695153976
qLogNEHVI,50,0.11055555555555555,30.79093254461994,0.7864870822227928
qLogNEHVI,51,0.11244444444444444,29.027160632408332,0.7937613681120649
qLogNEHVI,52,0.11433333333333333,29.578217346252583,0.7996821724116047
qLogNEHVI,53,0.11622222222222221,28.520389778261258,0.8091625709132853
qLogNEHVI,54,0.11811111111111111,29.666593120197334,0.8093029206960128
qLogNEHVI,55,0.12,28.980859100720977,0.8211109900879652
MOMF,1,0.018,39.718729441723376,0.5899318822591121
MOMF,2,0.019888888888888887,39.154198484365935,0.5919320780587132
MOMF,3,0.021777777777777778,40.05381509153415,0.5976165134535898
MOMF,4,0.023666666666666666,39.41243243593912,0.6154235588705598
MOMF,5,0.025555555555555554,38.51164739475184,0.6035349892940817
MOMF,6,0.02744444444444444,38.3352488364559,0.6117736828224367
MOMF,7,0.02933333333333333,37.69340401300796,0.6270305298449422
MOMF,8,0.03122222222222222,38.621706216361666,0.6399584023892086
MOMF,9,0.033111111111111105,37.99342086220511,0.6249812428248653
MOMF,10,0.034999999999999996,37.81909217470455,0.6301933939566543
MOMF,11,0.03688888888888889,37.42260882952918,0.6401962726570645
MOMF,12,0.03877777777777777,36.66694554435217,0.6456933073680334
MOMF,13,0.04066666666666666,37.00786372408706,0.653462104550615
MOMF,14,0.042555555555555555,35.99775361129064,0.6522382878428933
MOMF,15,0.04444444444444444,36.508634242619046,0.6525502084192093
MOMF,16,0.04633333333333333,36.33314761862792,0.6610588995920602
MOMF,17,0.04822222222222222,36.8119354993965,0.652336315231615
MOMF,18,0.050111111111111106,36.047947099597124,0.6682096215117163
MOMF,19,0.05199999999999999,35.08837043980415,0.6764401296876963
MOMF,20,0.05388888888888889,35.17344260283948,0.6740678924889392
MOMF,21,0.05577777777777777,35.30571674935288,0.6837652497656775
MOMF,22,0.05766666666666666,35.00041683206328,0.6746137157401245
MOMF,23,0.059555555555555556,34.38094042771098,0.6871448106432925
MOMF,24,0.06144444444444444,34.823456449163054,0.708744094484626
MOMF,25,0.06333333333333332,34.45786340588061,0.6953373322707374
MOMF,26,0.06522222222222222,34.223370421439824,0.684351000749623
MOMF,27,0.06711111111111111,33.830447162549504,0.700443646812561
MOMF,28,0.06899999999999999,34.098899005121716,0.7153763930275736
MOMF,29,0.07088888888888889,33.175545537548246,0.7081216132334718
MOMF,30,0.07277777777777777,33.79160321953209,0.7327795033451847
MOMF,31,0.07466666666666666,33.26481029954048,0.7128585440800032
MOMF,32,0.07655555555555554,33.29938123291935,0.7260897263263274
MOMF,33,0.07844444444444444,32.66952681303477,0.7383868124740275
MOMF,34,0.08033333333333333,32.59558674574624,0.7278353797528152
MOMF,35,0.08222222222222222,32.46097785984081,0.7572079835592154
MOMF,36,0.08411111111111111,32.102194863734525,0.7313337974934051
MOMF,37,0.086,31.558129970077523,0.7427427681758522
MOMF,38,0.08788888888888889,30.934257364540812,0.747912300287616
MOMF,39,0.08977777777777778,31.609126996167213,0.7631202553091317
MOMF,40,0.09166666666666666,31.64070331014797,0.7700213880413974
MOMF,41,0.09355555555555554,32.15242721783275,0.765975161485319
MOMF,42,0.09544444444444444,30.89947019912196,0.77463468856793
MOMF,43,0.09733333333333333,30.27939559516388,0.7718416490165532
MOMF,44,0.09922222222222221,30.778905789873516,0.7817007286327249
MOMF,45,0.10111111111111111,29.998318546194287,0.7796889040351155
MOMF,46,0.103,29.60589155042091,0.781025637818952
MOMF,47,0.10488888888888888,30.080259198221903,0.8012872903307368
MOMF,48,0.10677777777777778,29.33823025846147,0.7885504549310088
MOMF,49,0.10866666666666666,29.429613220292538,0.8172845822833612
MOMF,50,0.11055555555555555,30.102353643175995,0.8052695542139292
MOMF,51,0.11244444444444444,29.389647114717814,0.7893461461007171
MOMF,52,0.11433333333333333,29.227509496841666,0.8004964937684254
MOMF,53,0.11622222222222221,28.416167430165963,0.8203581809309581
MOMF,54,0.11811111111111111,28.03175942999989,0.8300365489942874
MOMF,55,0.12,28.55382993674585,0.8267605978968982
PHSEA,1,0.018,38.54382083875409,0.5959346711231153
PHSEA,2,0.019888888888888887,38.05956591429308,0.6069534995533608
PHSEA,3,0.021777777777777778,38.01876397206562,0.6313679464216978
PHSEA,4,0.023666666666666666,37.38876141023915,0.6067139596958808
PHSEA,5,0.025555555555555554,37.61542557715851,0.6386409936944121
PHSEA,6,0.02744444444444444,37.26512915076498,0.61401402390828
PHSEA,7,0.02933333333333333,36.96716484755041,0.6203005237156097
PHSEA,8,0.03122222222222222,37.06218273669483,0.618487453073184
PHSEA,9,0.033111111111111105,37.00909479944073,0.6397164448285856
PHSEA,10,0.034999999999999996,37.45915318000696,0.6410951891229256
PHSEA,11,0.03688888888888889,36.54662086799759,0.6427092809434698
PHSEA,12,0.03877777777777777,36.893101648941645,0.6528520762192487
PHSEA,13,0.04066666666666666,36.49117975556735,0.646437157512988
PHSEA,14,0.042555555555555555,36.3395721741153,0.6615273832164003
PHSEA,15,0.04444444444444444,36.22302620997089,0.6507342407287139
PHSEA,16,0.04633333333333333,35.769878132015386,0.6580728761110618
PHSEA,17,0.04822222222222222,34.7966099343057,0.6717075288234445
PHSEA,18,0.050111111111111106,34.180118208761996,0.6665329315030109
PHSEA,19,0.05199999999999999,34.42213950064484,0.700538453200828
PHSEA,20,0.05388888888888889,34.76030564767726,0.6853298117183686
PHSEA,21,0.05577777777777777,34.009948484718,0.692387217982337
PHSEA,22,0.05766666666666666,34.32835289955605,0.7055529670065417
PHSEA,23,0.059555555555555556,33.485532392082106,0.7108158377610388
PHSEA,24,0.06144444444444444,33.449574861137066,0.70343970438011
PHSEA,25,0.06333333333333332,32.82858617456056,0.6961479448498592
PHSEA,26,0.06522222222222222,34.040689672326664,0.726891993007869
PHSEA,27,0.06711111111111111,33.19709058123588,0.7262116541201001
PHSEA,28,0.06899999999999999,33.31937925095529,0.7248599705955894
PHSEA,29,0.07088888888888889,33.449007891859665,0.7195469362412119
PHSEA,30,0.07277777777777777,32.40607230554621,0.728268990837215
PHSEA,31,0.07466666666666666,31.887192272693223,0.7283783048847569
PHSEA,32,0.07655555555555554,31.82926758300519,0.7338320169980923
PHSEA,33,0.07844444444444444,32.229806916510505,0.7295177897447763
PHSEA,34,0.08033333333333333,31.639600686393827,0.7446767185637071
PHSEA,35,0.08222222222222222,31.305608293977425,0.7612578124355699
PHSEA,36,0.08411111111111111,32.68622996801302,0.7525974864086317
PHSEA,37,0.086,31.51492289069957,0.7533654144198769
PHSEA,38,0.08788888888888889,31.598311797751734,0.7638704816258967
PHSEA,39,0.08977777777777778,31.575822119187677,0.771981204681052
PHSEA,40,0.09166666666666666,30.648657626161068,0.7634772836663901
PHSEA,41,0.09355555555555554,29.89523341198692,0.7638768140136766
PHSEA,42,0.09544444444444444,30.352741669361546,0.7840492268013922
PHSEA,43,0.09733333333333333,29.808820978872806,0.7846249124244171
PHSEA,44,0.09922222222222221,30.372996420682586,0.7998330771520555
PHSEA,45,0.10111111111111111,29.475379871582614,0.7964171352010241
PHSEA,46,0.103,28.759715041622115,0.7939759762947662
PHSEA,47,0.10488888888888888,29.425121080063057,0.7949607951606816
PHSEA,48,0.10677777777777778,28.759830714856143,0.8007294673944227
PHSEA,49,0.10866666666666666,28.459973966686768,0.8179480716105767
PHSEA,50,0.11055555555555555,29.0669724583184,0.823145801817366
PHSEA,51,0.11244444444444444,27.588432974350777,0.7896606695481978
PHSEA,52,0.11433333333333333,28.04024173040363,0.8224826914474423
PHSEA,53,0.11622222222222221,27.69723612520222,0.8291698034790972
PHSEA,54,0.11811111111111111,27.785679140426286,0.8310515038330056
PHSEA,55,0.12,27.143770329282866,0.8340587773555265
MSAEA-DM,1,0.018,37.5680141627191,0.6121342468471489
MSAEA-DM,2,0.019888888888888887,37.50177834556042,0.6089935700340783
MSAEA-DM,3,0.021777777777777778,37.69374205001375,0.613857812755231
MSAEA-DM,4,0.023666666666666666,37.21187850443744,0.6219255497202523
MSAEA-DM,5,0.025555555555555554,36.710566201707145,0.6218291105091024
MSAEA-DM,6,0.02744444444444444,36.76735112465084,0.6203276091237626
MSAEA-DM,7,0.02933333333333333,36.33188390102782,0.6393931780119678
MSAEA-DM,8,0.03122222222222222,36.9871041393909,0.6560664336008041
MSAEA-DM,9,0.033111111111111105,36.296223706262296,0.6502008781296983
MSAEA-DM,10,0.034999999999999996,35.90310954302781,0.6665305287752183
MSAEA-DM,11,0.03688888888888889,35.739679636485114,0.6555024792845048
MSAEA-DM,12,0.03877777777777777,35.36961406176747,0.655535289922309
MSAEA-DM,13,0.04066666666666666,35.67147378697759,0.6690542354439217
MSAEA-DM,14,0.042555555555555555,35.469609627954334,0.6728455463672178
MSAEA-DM,15,0.04444444444444444,34.868736093705564,0.683919235600957
MSAEA-DM,16,0.04633333333333333,34.80010391665264,0.6727584148391195
MSAEA-DM,17,0.04822222222222222,34.7474158293327,0.6759719186186844
MSAEA-DM,18,0.050111111111111106,34.51465620240483,0.6856250335705598
MSAEA-DM,19,0.05199999999999999,34.4257710844598,0.6836917078595032
MSAEA-DM,20,0.05388888888888889,33.1987230084372,0.6930011405177591
MSAEA-DM,21,0.05577777777777777,34.003144018163006,0.6980607791800868
MSAEA-DM,22,0.05766666666666666,33.731651219963275,0.7025160513419411
MSAEA-DM,23,0.059555555555555556,33.30495291475023,0.7132779499199127
MSAEA-DM,24,0.06144444444444444,33.116051768301915,0.714581161610849
MSAEA-DM,25,0.06333333333333332,32.39289751820918,0.7175923381540208
MSAEA-DM,26,0.06522222222222222,32.172474048837444,0.7237530003753299
MSAEA-DM,27,0.06711111111111111,32.7762849723747,0.7258918105323913
MSAEA-DM,28,0.06899999999999999,31.97208143421672,0.7169003152301588
MSAEA-DM,29,0.07088888888888889,31.388501826174785,0.7369089309899107
MSAEA-DM,30,0.07277777777777777,32.36194440241821,0.7426955508491535
MSAEA-DM,31,0.07466666666666666,32.33401762977165,0.739089827785477
MSAEA-DM,32,0.07655555555555554,31.461783259001432,0.7642640037461212
MSAEA-DM,33,0.07844444444444444,31.14910570338362,0.7507014532967783
MSAEA-DM,34,0.08033333333333333,31.5060034879682,0.7562132993609033
MSAEA-DM,35,0.08222222222222222,30.436569158906476,0.7467243068375651
MSAEA-DM,36,0.08411111111111111,30.48363206371545,0.7573918105547237
MSAEA-DM,37,0.086,30.622242707328496,0.7684648941242741
MSAEA-DM,38,0.08788888888888889,29.81766123196301,0.781167845522256
MSAEA-DM,39,0.08977777777777778,30.211995001122947,0.7774010890088813
MSAEA-DM,40,0.09166666666666666,29.912712089276496,0.7608967377912406
MSAEA-DM,41,0.09355555555555554,29.040640110916353,0.7856470246881918
MSAEA-DM,42,0.09544444444444444,29.460260819872865,0.7835723201302047
MSAEA-DM,43,0.09733333333333333,28.91648708816811,0.7855622235862674
MSAEA-DM,44,0.09922222222222221,28.368040967056768,0.8040741752056174
MSAEA-DM,45,0.10111111111111111,28.390673612220045,0.7945872173816338
MSAEA-DM,46,0.103,28.382874601629993,0.8098035001524236
MSAEA-DM,47,0.10488888888888888,27.942777393755375,0.8077125063131834
MSAEA-DM,48,0.10677777777777778,27.81588109395301,0.8077753748628265
MSAEA-DM,49,0.10866666666666666,28.21413774092801,0.8208480123273281
MSAEA-DM,50,0.11055555555555555,27.882278430372505,0.82291140421643
MSAEA-DM,51,0.11244444444444444,26.830181462661027,0.8343118694787673
MSAEA-DM,52,0.11433333333333333,28.27303027239903,0.8375028435082038
MSAEA-DM,53,0.11622222222222221,26.405801942987082,0.8292798900987954
MSAEA-DM,54,0.11811111111111111,27.039019971391568,0.8331158938026061
MSAEA-DM,55,0.12,26.393896372028294,0.8473633225652712
AS-SMEA,1,0.018,36.73316325514471,0.622197087135243
AS-SMEA,2,0.019888888888888887,36.000748930043144,0.6278655248385419
AS-SMEA,3,0.021777777777777778,36.686710344785176,0.6273848764841399
AS-SMEA,4,0.023666666666666666,36.27528776838789,0.6219053509850876
AS-SMEA,5,0.025555555555555554,35.33627962731667,0.6326214553319204
AS-SMEA,6,0.02744444444444444,36.23066146124106,0.6286266972701923
AS-SMEA,7,0.02933333333333333,35.82821348207048,0.654812188632501
AS-SMEA,8,0.03122222222222222,35.08979198377393,0.642468615713811
AS-SMEA,9,0.033111111111111105,35.35169410422178,0.654785751173285
AS-SMEA,10,0.034999999999999996,35.028372312281356,0.6526530040390194
AS-SMEA,11,0.03688888888888889,34.542624465541934,0.6618205960694806
AS-SMEA,12,0.03877777777777777,34.39627200351595,0.661755714603808
AS-SMEA,13,0.04066666666666666,34.58348972165319,0.6697265889474731
AS-SMEA,14,0.042555555555555555,34.44546536201823,0.6739501093013868
AS-SMEA,15,0.04444444444444444,33.97684009496726,0.6843338658376331
AS-SMEA,16,0.04633333333333333,33.522673220389386,0.6932197184989569
AS-SMEA,17,0.04822222222222222,33.614139943293274,0.6778514950861672
AS-SMEA,18,0.050111111111111106,33.15398188434686,0.6922563343304299
AS-SMEA,19,0.05199999999999999,32.88974676191319,0.7112523656071613
AS-SMEA,20,0.05388888888888889,32.67646468012399,0.7045367288122779
AS-SMEA,21,0.05577777777777777,31.9828741552664,0.7244598796445223
AS-SMEA,22,0.05766666666666666,32.62696264695209,0.7185758472372952
AS-SMEA,23,0.059555555555555556,32.309899282308635,0.7169575540987861
AS-SMEA,24,0.06144444444444444,31.960658778128394,0.7160523138817403
AS-SMEA,25,0.06333333333333332,31.71928519122148,0.7266329236936666
AS-SMEA,26,0.06522222222222222,31.237230231998623,0.7208734908549601
AS-SMEA,27,0.06711111111111111,31.98101354955829,0.7298496113994788
AS-SMEA,28,0.06899999999999999,30.188207212657872,0.7361196625709026
AS-SMEA,29,0.07088888888888889,30.195671275388015,0.7464270652870845
AS-SMEA,30,0.07277777777777777,30.62686156789212,0.7417672276845915
AS-SMEA,31,0.07466666666666666,30.19645762117811,0.7588804809598418
AS-SMEA,32,0.07655555555555554,30.51412768061634,0.7706146517943994
AS-SMEA,33,0.07844444444444444,29.76772331609467,0.7565194489763781
AS-SMEA,34,0.08033333333333333,30.303155224313784,0.763663739395658
AS-SMEA,35,0.08222222222222222,29.903999164375275,0.7485551830805426
AS-SMEA,36,0.08411111111111111,30.286235211336304,0.7838376008569944
AS-SMEA,37,0.086,29.76458008500559,0.780110885527355
AS-SMEA,38,0.08788888888888889,29.089822979639948,0.7829252177031805
AS-SMEA,39,0.08977777777777778,29.302126887980204,0.781027227659843
AS-SMEA,40,0.09166666666666666,28.930937306339718,0.792191904281686
AS-SMEA,41,0.09355555555555554,27.841267522942896,0.7807116736356723
AS-SMEA,42,0.09544444444444444,28.165827142853132,0.8109986774614829
AS-SMEA,43,0.09733333333333333,26.976233580616054,0.8055042227513213
AS-SMEA,44,0.09922222222222221,28.34972591416572,0.8115580889691092
AS-SMEA,45,0.10111111111111111,28.245451185306674,0.8059171790083175
AS-SMEA,46,0.103,27.126555669973932,0.819502099365999
AS-SMEA,47,0.10488888888888888,26.94317277547958,0.8319605346410589
AS-SMEA,48,0.10677777777777778,27.04904908616823,0.8250249555601268
AS-SMEA,49,0.10866666666666666,26.739639249068098,0.8316123997222863
AS-SMEA,50,0.11055555555555555,26.411220497913085,0.8297793092519082
AS-SMEA,51,0.11244444444444444,26.79783385072327,0.8311221885647463
AS-SMEA,52,0.11433333333333333,26.576363711301624,0.8580419113412829
AS-SMEA,53,0.11622222222222221,26.589000595537996,0.8483827633458634
AS-SMEA,54,0.11811111111111111,26.32046802105698,0.8566869781478639
AS-SMEA,55,0.12,25.905652988416715,0.8513705079728068
